ppms,values
-2.907599731903436,200.80078125
-2.9071106785946608,332.05078125
-2.9066216252858856,-428.91796875
-2.9061325719771105,69.65234375
-2.9056435186683354,44.61328125
-2.9051544653595602,12.68359375
-2.904665412050785,116.609375
-2.90417635874201,-75.359375
-2.903687305433235,217.65625
-2.9031982521244597,-368.92578125
-2.9027091988156846,-340.4140625
-2.9022201455069094,45.13671875
-2.9017310921981343,-631.125
-2.901242038889359,-7.8046875
-2.900752985580584,-326.2890625
-2.900263932271809,368.3828125
-2.8997748789630338,-311.93359375
-2.8992858256542586,1.9453125
-2.8987967723454835,107.26171875
-2.8983077190367084,-374.5234375
-2.8978186657279332,-513.09765625
-2.897329612419158,-342.71875
-2.896840559110383,346.203125
-2.896351505801608,-295.0703125
-2.8958624524928327,-546.64453125
-2.8953733991840576,513.45703125
-2.8948843458752824,-135.24609375
-2.8943952925665073,372.0
-2.893906239257732,373.4140625
-2.893417185948957,-271.50390625
-2.892928132640182,-157.31640625
-2.8924390793314068,-276.67578125
-2.8919500260226316,-100.4609375
-2.8914609727138565,-102.5703125
-2.8909719194050814,302.98046875
-2.8904828660963062,61.703125
-2.889993812787531,68.16796875
-2.889504759478756,-299.61328125
-2.889015706169981,397.19921875
-2.8885266528612057,-75.92578125
-2.8880375995524306,425.1640625
-2.8875485462436554,-4.04296875
-2.8870594929348803,-146.33984375
-2.886570439626105,197.59765625
-2.88608138631733,-687.71484375
-2.885592333008555,-762.4375
-2.8851032796997798,-155.4296875
-2.8846142263910046,-37.9140625
-2.8841251730822295,-19.95703125
-2.8836361197734544,-305.5625
-2.883147066464679,-223.7265625
-2.882658013155904,279.875
-2.882168959847129,-313.4140625
-2.881679906538354,-74.234375
-2.8811908532295787,-638.0703125
-2.8807017999208036,-132.30078125
-2.8802127466120284,-104.3515625
-2.8797236933032533,-262.1328125
-2.879234639994478,-292.33984375
-2.878745586685703,-373.6875
-2.878256533376928,244.25390625
-2.8777674800681528,94.74609375
-2.8772784267593776,-375.7265625
-2.8767893734506025,16.625
-2.8763003201418273,49.828125
-2.875811266833052,154.61328125
-2.875322213524277,38.828125
-2.874833160215502,137.78515625
-2.874344106906727,-170.16796875
-2.8738550535979517,307.63671875
-2.8733660002891765,-603.375
-2.8728769469804014,-165.05078125
-2.8723878936716263,-194.84765625
-2.871898840362851,53.96484375
-2.871409787054076,0.7890625
-2.870920733745301,240.28125
